postcode,ap_monitor,buffer_km,area_overlap,percent_overlap
2024,Cook and Phillip,5,245911.384062779,12.7799725793914
2025,Randwick,5,699780.165069864,56.8657588319219
2025,Alexandria,5,838114.147769649,68.1070990286391
2025,Cook and Phillip,5,1230582.65543981,100
2026,Randwick,5,1214662.34049735,33.2228543927087
2026,Cook and Phillip,5,224411.479485557,6.13799379336011
2027,Alexandria,5,540968.068327662,39.319870346516
2027,Cook and Phillip,5,1375813.45909905,100
2027,Bradfield Highway,5,1344503.40323252,97.7242513758347
2027,Cammeray,5,89471.3908105163,6.50316292654286
2028,Alexandria,5,67193.2429818235,8.4850931824196
2028,Cook and Phillip,5,791897.525899212,100
2028,Bradfield Highway,5,526566.650155186,66.4942916139637
2029,Cook and Phillip,5,855245.841541185,33.8296123147045
2029,Bradfield Highway,5,19280.9887244204,0.762667693789566
2031,Randwick,5,6095168.72238557,100
2031,Alexandria,5,4472474.61579854,73.3773718087999
2031,Cook and Phillip,5,2027612.128814,33.265890103538
2032,Randwick,5,2475054.01943617,100
2032,Alexandria,5,2475054.01943617,100
2032,Cook and Phillip,5,237.509888123721,0.00959614967021312
2033,Randwick,5,2234904.8189945,100
2033,Alexandria,5,2234904.8189945,100
2033,Cook and Phillip,5,1775130.72569079,79.4275760920071
2034,Randwick,5,3050499.51762911,100
2034,Alexandria,5,58279.4313854084,1.91048813640541
2035,Randwick,5,8121622.64712474,100
2035,Alexandria,5,2599285.86325373,32.004514075447
2036,Randwick,5,9857963.2733493,62.7353549441586
2036,Alexandria,5,201172.768823333,1.2802487397524
2037,Alexandria,5,2137169.84622012,100
2037,Cook and Phillip,5,2137169.84622012,100
2037,Rozelle,5,2137169.84622012,100
2037,Bradfield Highway,5,1723781.45475306,80.657204564336
2038,Earlwood,5,622698.813136193,41.701914281473
2038,Alexandria,5,1493213.97798,100
2038,Cook and Phillip,5,1492038.10003837,99.9212518795716
2038,Rozelle,5,1493213.97798,100
2038,Bradfield Highway,5,236213.656418478,15.8191431303118
2039,Alexandria,5,984402.976784103,53.6778070333681
2039,Cook and Phillip,5,1833910.5697298,100
2039,Rozelle,5,1833910.5697298,100
2039,Bradfield Highway,5,1822053.43774658,99.353450916368
2039,Cammeray,5,14075.7875119671,0.767528566785075
2040,Earlwood,5,2721228.55459376,57.241996890008
2040,Alexandria,5,2622071.17435345,55.1561866254657
2040,Cook and Phillip,5,1808592.8820021,38.0443854861394
2040,Rozelle,5,4753902.20893704,100
2040,Bradfield Highway,5,138830.220717353,2.92034237591933
2041,Alexandria,5,92598.7515408245,3.75481776579469
2041,Cook and Phillip,5,2466131.70909045,100
2041,Rozelle,5,2466131.70909045,100
2041,Bradfield Highway,5,2466131.70909045,100
2041,Cammeray,5,1848265.90892927,74.9459528911754
2042,Earlwood,5,1733090.92449025,84.7657757304441
2042,Alexandria,5,2044564.45960159,100
2042,Cook and Phillip,5,1701872.89573296,83.2388965650213
2042,Rozelle,5,2028336.33618362,99.2062796875021
2043,Earlwood,5,538784.377233076,66.6922388267209
2043,Alexandria,5,807866.682408038,100
2043,Cook and Phillip,5,807866.682408038,100
2043,Rozelle,5,684988.072506839,84.7897416025464
2044,Earlwood,5,3853940.17399095,100
2044,Alexandria,5,3853940.17399095,100
2044,Cook and Phillip,5,25017.8196853553,0.649149144924273
2045,Earlwood,5,2212532.24155187,92.8680356557197
2045,Rozelle,5,2382447.55144189,100
2046,Earlwood,5,253462.630785774,4.21484183160859
2046,Rozelle,5,6013573.95869445,100
2047,Cook and Phillip,5,40730.3814661144,1.76298083009031
2047,Rozelle,5,2310313.34946665,100
2047,Bradfield Highway,5,332107.886675686,14.3750148330466
2048,Earlwood,5,1217472.16650911,100
2048,Alexandria,5,1217472.16650911,100
2048,Cook and Phillip,5,677056.874672409,55.6116922667522
2048,Rozelle,5,1217472.16650911,100
2049,Earlwood,5,1928934.76473567,100
2049,Alexandria,5,1789965.48618993,92.795542851612
2049,Rozelle,5,1928934.76473567,100
2050,Earlwood,5,475346.38741297,57.6176101207745
2050,Alexandria,5,825001.915936079,100
2050,Cook and Phillip,5,825001.915936079,100
2050,Rozelle,5,825001.915936079,100
2052,Randwick,5,434160.671464853,100
2052,Alexandria,5,434160.671464853,100
2052,Cook and Phillip,5,62360.9346368015,14.3635614037532
2060,Cook and Phillip,5,2687299.85267952,100
2060,Rozelle,5,1650473.99759327,61.4175599327918
2060,Bradfield Highway,5,2687299.85267952,100
2060,Cammeray,5,2687299.85267952,100
2061,Cook and Phillip,5,631637.48941019,100
2061,Rozelle,5,247281.381977629,39.1492566738771
2061,Bradfield Highway,5,631637.48941019,100
2061,Cammeray,5,631637.48941019,100
2062,Cook and Phillip,5,67396.9542162034,4.34066354488514
2062,Bradfield Highway,5,1552687.82109641,100
2062,Cammeray,5,1552687.82109641,100
2063,Bradfield Highway,5,2728120.17467048,100
2063,Cammeray,5,2728120.17467048,100
2064,Bradfield Highway,5,2391652.7811801,94.3263106310156
2064,Cammeray,5,2535509.7270111,100
2065,Cook and Phillip,5,1394111.42160763,24.5602313477954
2065,Rozelle,5,2466386.82963999,43.4506382992411
2065,Bradfield Highway,5,5676295.96751648,100
2065,Cammeray,5,5676295.96751648,100
2066,Rozelle,5,3511685.41064657,36.6585563698223
2066,Bradfield Highway,5,3205850.82189813,33.4659427953017
2066,Cammeray,5,3957601.57507073,41.3134843995938
2066,Macquarie Park,5,253084.823472423,2.64195768774804
2067,Bradfield Highway,5,4169.11449128669,0.0716337207067609
2067,Cammeray,5,3080317.11801998,52.9260054099399
2067,Macquarie Park,5,201247.782483157,3.45783918224905
2068,Bradfield Highway,5,3007754.46465101,53.0914582232822
2068,Cammeray,5,5665232.34679589,100
2069,Cammeray,5,1810601.3688445,24.0442610637385
